016806 多判视角为：大众 实际视角为：途观 句子：点评：途观虽然只是中期改款，不过其经典的造型非常的耐看，家族化的前脸设计，经典耐看，搭配新式样的大灯，造型更加的年轻醒目，中控依然是大众的风格，好处是上手没难度，用料上还是不错的，优秀的做工，使其拥有良好的质感，车内丰富的储物空间，物品的放置很方便。
016803	实际情感:pos 预测情感:neu	 视角：POLO 句子： 相比现款POLO，全新车型在尺寸上大幅增加，其中轴距已经接近上代高尔夫。
016745	实际情感:pos 预测情感:neu	 视角：思域 句子： 第五，这车偷工减料确实不少，下摆臂确实看着好脆，还有看底盘的用料和内饰就知道，但是没办法，谁让我喜欢呢，又想便宜，又想配置高，又想逼格高，又想拉风，除了本田十代思域我实在想不出来还有哪个车了。
016743 多判视角为：凯迪拉克PHEV 实际视角为：凯迪拉克 PHEV 句子：笔者驾驶凯迪拉克PHEV，以70公里/小时（弯道）-120公里/小时（直线）车速测试。
016724	实际情感:neu 预测情感:pos	 视角：沃尔沃 句子： 内饰看久了才觉得沃尔沃的好 坐入驾驶室显得自然放松 线条柔和 给驾驶提供足够的安全感 厚实的门板设计是最喜欢内饰的部分 其次是中控台 独特的设计却又显得很顺眼 这样的设计很难得 但是内饰中塑料件还是觉得多了 不如以前的沃尔沃 门板百分之九十都是真皮覆盖 相比之下档次掉了不少。。。
016682 多判视角为：途安L 实际视角为：途安 句子：全新途安L始终将安全放在首位，努力为全家出行提供更为安全可靠的座驾。
016667	实际情感:neu 预测情感:neg	 视角：CX-4 句子： 【购车】看完上面我的选车理念，我首选的是昂克赛拉，没看错是昂克赛拉，怎么不是阿特兹或CX-4和CX-5，因为当时是2016年3月，CX-4还没上市，阿特兹的内饰，真心不喜欢，而CX-5是标准的SUV，重心高，个人觉得高速行驶安全性差。
016665 多判视角为：BMW 实际视角为：宝马 X7 X5 7系 句子：宝马将提高BMW主品牌在更高端市场的发展，例如7系特别定制版和比X5级别更高的X7等车型。
016663 多判视角为：7系 实际视角为：宝马 i8 i3 句子：北京时间9月1日晚，宝马将在本届成都车展开幕前夜举办新能源之夜活动，届时除了宝马未来在新能源市场的布局和愿景之外，新款i3、i8特别版以及7系插电混动版三款新车也将公布售价。
016660	实际情感:pos 预测情感:neu	 视角：昕动 句子： 都说车是男人的小老婆，可是666说昕动可不是他的小老婆，明明就是大老婆。
016639	实际情感:neu 预测情感:pos	 视角：途观 句子： ·斯柯达 KODIAQ 的整车尺寸明显要比新一代 途观 有了明显的增加，后备箱小窗的尺寸显著增大，使得新车看上去要更加的修长。
016633	实际情感:neg 预测情感:neu	 视角：哈弗 句子： 又想马儿少吃草，又让马儿可劲儿跑，这种事儿只在新闻联播里出现过，那些居然信的人，有一部分就买哈弗轰九去了。
016629 多判视角为：思域 实际视角为：十代思域 本田 句子：本田的全球车型十代思域已经上市，正用升级过的新的技术和设计来刷新本田科技。
016624 多判视角为：大众 实际视角为：Polo GTI Polo 句子：另外，基于大众全新一代的Polo打造的高性能版本Polo GTI的路试谍照，也于日前被海外媒体曝光。
016623 多判视角为：地球梦 实际视角为：飞度 句子：1.5直喷式地球梦发动机加上cvt变速箱是全车最大亮点，由于飞度本身体积小，重量轻，所以即便是做了5个成人在车上，也丝毫感觉不到加速吃力动力不足，有一次我去机场接人，6个成人加行李（出国旅游回来，买买买的节奏，行李巨重）才感觉到油门沉，就这样还80迈开着从北京T3到北京火车站，还好是半夜没警察，严重超载。
016600	实际情感:pos 预测情感:neu	 视角：上汽大众 句子： 因为我们刚刚从工信部燃料消耗信息网上得知，上汽大众全新途观保留手动挡车型，就是说全新途观还是有保留入门版的车型，价格可能会贵，但起码有个低门槛的在，不像上次上市的新款RAV4 荣放，直接取消了手动挡。
016600	实际情感:pos 预测情感:neu	 视角：途观 句子： 因为我们刚刚从工信部燃料消耗信息网上得知，上汽大众全新途观保留手动挡车型，就是说全新途观还是有保留入门版的车型，价格可能会贵，但起码有个低门槛的在，不像上次上市的新款RAV4 荣放，直接取消了手动挡。
016595	实际情感:pos 预测情感:neu	 视角：斯柯达速派 句子： 由斯柯达速派独家冠名的经典德语音乐剧《莫扎特》来自于欧洲最负盛名的音乐剧制作公司——奥地利VBW公司，他们制作的德语音乐剧在欧洲如雷贯耳，甚至比《剧院魅影》《悲惨世界》在欧洲的影响力更大。
016590	实际情感:pos 预测情感:neu	 视角：凯越 句子： 2008年，凯越历经一次大改款，最明显的就是换装家族瀑布型格栅，当然底盘也有重新调校，配置进行了部分升级。
016572 多判视角为：宝马3系 实际视角为：丰田卡罗拉 本田雅阁 宝马 句子：现在，30万级我们以宝马3系为例，20万级以本田雅阁为例，10万级以丰田卡罗拉为例，来对比看看实现买车这个小目标对于江华人和美国人来说分别是怎样的难度。
016571 多判视角为：高尔夫 实际视角为：别克 句子：别克品牌与中国女子高尔夫队携手。
016571	实际情感:pos 预测情感:neu	 视角：别克 句子： 别克品牌与中国女子高尔夫队携手。
016565	实际情感:pos 预测情感:neu	 视角：长安 句子： 长安汽车（微博）（000625）发布半年度报告显示，上半年，长安汽车营业收入358.01亿元，同比增长8.32%，归属于上市公司股东的净利润54.9亿元，同比增长7.98%。
