S30013	0.10743427	neg	#高尔夫r#傻子开这车	
S30577	0.81507251	neg	2016款自动时尚爱丽舍机油消耗大	
S30611	0.86818001	neg	别克君威刹车灯一直亮是什么问题？	
S30709	0.28563376	neg	别克君威启动空调前车盖冒烟有糊味	
S30726	0.03774878	neg	迈腾俩后轮外八没有解决办法吗？？？	
S30903	0.16408702	neg	提问帖迈腾方向机异响[待解决]	
S30994	0.73541799	neg	帕萨特b5空档滑行档油门回位慢怎么回事	
S30997	0.00047005	neg	本田11月在[熊猫]华销量下跌12%累计销量不及去年同期	
S31243	0.00162374	neg	14款宝来大灯不亮宝来改灯多少钱铜陵哪里有改装氙气灯的宝来升级海拉三透镜	
S31372	0.72489553	neg	丰田凯美瑞夜晚前大灯怎么看不远	
S31481	0.35259931	neg	现代途胜跑起来抽动什么情况	
S31731	0.60154090	neg	13速派车主再次吐槽一下斯柯达装配工艺	
S32715	0.77667527	neg	奥迪车起步有呫呫声咋回事	
S32732	0.00545567	neg	2011捷达伙伴右转向突然不亮了	
S32786	0.79067877	neg	昂克赛拉转向偶尔有类似挤压橡胶的声音是怎么回事？	
S32841	0.54503458	neg	凯越别克开电器怠速下降	
S32844	0.20258876	neg	新凌渡开一点路发动机就很烫是什么情况	
S32924	0.04172967	neg	标致308倒车后视镜小汽车右后方感应到障碍物却不亮灯	
S32994	0.57828928	neg	为什么本田凌派加油时有顿挫感?而丰田卡罗拉没有	
S32996	0.00858248	neg	别克英朗新车发动机漏油厂家不予退换车辆-车质网移动版-	
S33079	0.47505595	neg	发现这个会不会被打宝马减配好严重	
S33132	0.22991389	neg	2015新朗逸左前部位时常咯吱咯吱出现异响怎么解决？	
S33171	0.04049547	neg	16款桑塔纳还漏水吗？	
S33192	0.86750438	neg	迈锐宝2016款方向盘突然变轻	
S33229	0.52782280	neg	君越电瓶毫无征兆的坏了	
S33275	0.52519149	neg	【故障案例】奥迪a4l热车熄火后无法打开点火开关	
S33749	0.55666922	neg	请问大神们明锐经典在过颠簸路段的时候车身左右摇晃左前底盘异	
S33853	0.36860117	neg	帕萨特b51.8轿车发动机怠速熄火	
S33913	0.19258312	neg	2015新款科鲁兹1.5l自动启停时出现熄火	
S34121	0.13736278	neg	12晶锐1.4乞丐行驶中熄火	
S34415	0.62195042	neg	哈弗h6迎宾灯不熄灭问题！	
S34502	0.37572235	neg	辣鸡帕萨特接缝处开始起疹子了	
S34765	0.63118656	neg	解决了13款改款朗逸车门异响	
S35804	0.00172870	neg	今天才发现爱丽舍水箱那个风扇在发动机启动后怎么不转呢？	
S36040	0.02917601	neg	2014款1.4改款速腾冷车启动声响大	
S36166	0.93725012	neg	别克君威开吹风油耗怎么也上升	
S36224	0.17634003	neg	奥迪a6l发动机灯亮是咋回事？	
S36241	0.48407082	neg	04款宝来1.8t变速箱生档慢什么原因	
S36281	0.03918387	neg	宝马x52016款泰国产28i的液晶仪表盘不显示导航怎么回事？设置里的信息显	
S36285	0.97683186	neg	每日车事：560顶不住了！宝骏全新suv明年来救火！	
S36295	0.24318810	neg	速腾1.6发动机正时皮带问题	
S36327	0.13465469	neg	华晨宝马320i空调无风出是什么问题？	
S36330	0.19816179	neg	起亚福瑞迪中控解锁灯不亮了怎么回事也就是那个双闪灯	
S36377	0.12429189	neg	09福特嘉年华cd自动弹出是锁住了吗	
S36387	0.22813580	neg	新捷达自动挡怎么踩一下刹车在加油门给不上油呀	
S36395	0.03787921	neg	斯柯达明锐天窗纱帘转不动的原因	
S36510	0.70991198	neg	为什么宝马会突然从神坛跌落呢？	
S36519	0.04473659	neg	英朗打不开门是怎么回事	
S36601	0.34491058	neg	科雷傲的尾门不会也是塑料的吧	
S36605	0.97101383	neg	别克君威空调高压冰低压热	
S36697	0.99153414	neg	现代和起亚水军请滚出中国汽车之家去你麻痹美韩放弃韩货国人当自强在抵制垃圾面前不分国界！	
S36772	0.42963882	neg	大众帕萨特为什么电子锁打不开车门	
S36843	0.23477122	neg	全面降价只有汉兰达加价解决抵制！	
S36861	0.08042044	neg	有人知道宝骏560右转灯快速闪是怎么回事么？	
S36922	0.04071254	neg	在中通汽车城买宝骏560车买贵了怎么办1.5t高配11万5	
S36996	0.65830971	neg	有买哈弗品牌后悔的朋友吗？	
027994	0.03603636	neg	北汽幻速H2E2016款 1.5L 手动 经典型 打不着火	
027951	0.93494692	neg	斯巴鲁森林人发动机渗漏机油	
027922	0.16811951	neg	东风标致高速路上行驶突然出现发动机故障不能加油高速行驶车身抖	
027849	0.12820805	neg	昌河铃木沈阳中航标准4S店欺骗性卖车！	
027818	0.25512058	neg	一汽吉林4S店改装低配当豪配卖	
027775	0.03127066	neg	速腾后悬架断裂召回措施无法接受	
027757	0.00277523	neg	重庆雷诺泰诺4S店推脱责任不予更换或维修变速箱	
027720	0.96148666	neg	奥迪新车A8L加油跳枪	
027678	0.13559313	neg	双龙汽车公司召回部分进口享御和雷斯特汽车	
027510	0.18227606	neg	东风雪铁龙世嘉在行驶途中羊角断裂 发生车祸	
027464	0.17544235	neg	北京汽车B40发动机漏油	
027446	0.21491553	neg	上海通用别克林荫大道500公里变速箱自动挡不能起步后来手动也没有了	
027386	0.36240694	neg	雪铁龙2013款尊贵型前大灯下垂	
027358	0.98089389	neg	雪佛兰乐驰车安全气囊未打开造成车主受伤	
027353	0.08878516	neg	启辰R30汽车发动机漏油问题	
027317	0.84563803	neg	北京现代名图 天窗橡胶跟原有的位置不接轨	
027213	0.07181346	neg	英菲尼迪客服说一套做一套	
027203	0.27396921	neg	2015款新明锐车内异味	
027199	0.02539179	neg	明锐车加速的时候进气门声音比较大咋回事	
027158	0.00056521	neg	天津一汽车辆在保为啥不给保还要自己出钱维修	
027117	0.19126858	neg	斯柯达牌汽车空调管出厂未正确安装导致车一直在空调水中浸泡	
027028	0.28647413	neg	广汽本田缤智首保后发动机出现异响	
026908	0.18148052	neg	实际调查明锐臭味问题	
026877	0.01092185	neg	上海通用汽车2010款别克林荫大道投诉	
026774	0.67139316	neg	长安15款逸动XT汽车轮毂质量问题	
026701	0.20923500	neg	北京现代IX35严重漏电影响使用	
026505	0.13506752	neg	长丰汽车 猎豹飞腾经典版  安全气囊灯亮半年未订到配件	
026428	0.06753760	neg	东风日产天籁全车车标等镀铬件上锈严重	
026348	0.73756633	neg	斯柯达新明锐车内有严重异味	
026347	0.00183972	neg	东风日产嘉兴之远4S店消费欺诈	
026141	0.00767976	neg	帕萨特左后视镜跑高速有吹哨音进风跑风解决办法	
026084	0.93606874	neg	北京现代朗动汽车在行驶过程中突然熄火！	
026036	0.99217679	neg	斯巴鲁森林人发生自燃	
026033	0.19106865	neg	宝马星之宝车辆送修四个月无果	
026000	0.26472355	neg	北京现代瑞纳车爆震厂家4S店相互推卸	
025877	0.17225857	neg	东风日产天籁汽车智能钥匙匹配信号不稳 打不着火	
